Serial No,list Name,list Link,List Image Link
1,Accenture,https://leetcode.com/list/d5t0m3kj/,https://assets.leetcode.com/favorite/soumyajit-paul/25813165/cover_1779425734.png
2,Capgemini,https://leetcode.com/list/dhmpjij5/,https://assets.leetcode.com/favorite/user0107bB/25693979/cover_1778655128.png
3,Cognizant,https://leetcode.com/list/dhmwrmxv/,https://assets.leetcode.com/favorite/soumyajit-paul/25694184/cover_1778656033.png
4,Deloitte,https://leetcode.com/list/dhmrarue/,https://assets.leetcode.com/favorite/user0107bB/25693912/cover_1778654950.png
5,Favorite,https://leetcode.com/list/pyngytfc/,https://leetcode.com/static/images/public_list_cover.png
6,Flipkart,https://leetcode.com/list/d9vifcjt/,https://assets.leetcode.com/favorite/soumyajit-paul/25852946/cover_1779703920.png
7,HCLTech,https://leetcode.com/list/d57bshxv/,https://assets.leetcode.com/favorite/soumyajit-paul/25808232/cover_1779383402.png
8,IBM,https://leetcode.com/list/d5740031/,https://assets.leetcode.com/favorite/soumyajit-paul/25808061/cover_1779383103.png
9,Infosys,https://leetcode.com/list/dhmp02zm/,https://assets.leetcode.com/favorite/user0107bB/25693958/cover_1778655033.png
10,Oracle,https://leetcode.com/list/dhm2mbl5/,https://assets.leetcode.com/favorite/soumyajit-paul/25694069/cover_1778655508.png
11,Paytm,https://leetcode.com/list/d9v3mp5r/,https://assets.leetcode.com/favorite/soumyajit-paul/25853073/cover_1779704590.png
12,PhonePe,https://leetcode.com/list/d9v370k6/,https://assets.leetcode.com/favorite/soumyajit-paul/25853082/cover_1779704646.png
13,Razor Pay,https://leetcode.com/list/d9v366wr/,https://assets.leetcode.com/favorite/soumyajit-paul/25853091/cover_1779704751.png
14,Sales Force,https://leetcode.com/list/d9vq5dsv/,https://assets.leetcode.com/favorite/soumyajit-paul/25853106/cover_1779704840.png
15,SAP Labs,https://leetcode.com/list/dh53bqy1/,https://assets.leetcode.com/favorite/user0107bB/25686075/cover_1778597910.png
16,TCS,https://leetcode.com/list/dh5qyu77/,https://assets.leetcode.com/favorite/user0107bB/25686112/cover_1778654838.png
17,Tech Mahindra,https://leetcode.com/list/d578d94g/,https://assets.leetcode.com/favorite/soumyajit-paul/25807745/cover_1779382095.png
18,Wipro,https://leetcode.com/list/dhmtda5c/,https://assets.leetcode.com/favorite/soumyajit-paul/25694468/cover_1778657387.png
19,Zepto,https://leetcode.com/list/d9vuwqwg/,https://assets.leetcode.com/favorite/soumyajit-paul/25852961/cover_1779703879.png
20,Zoho,https://leetcode.com/list/d9vid11i/,https://assets.leetcode.com/favorite/soumyajit-paul/25852923/cover_1779704066.png
21,Zomato,https://leetcode.com/list/d9vut5eh/,https://assets.leetcode.com/favorite/soumyajit-paul/25852968/cover_1779703834.png
